Search ID	Search NCBI Taxonomy ID	Canonical Search ID	Ortholog ID	Ortholog Gene Symbol	Ortholog NCBI Taxonomy ID	Ortholog NCBI Scientific Name	Votes	Vote Score	WORMHOLE Score	Best Hit	RBH	Ensembl Compara	Hieranoid	HomoloGene	InParanoid	IsoRankN-PPI	IsoRankN2-GI	Isobase	OMA	OrthoDB7	OrthoMCL	Panther	Roundup	TreeFam9	eggNOG-COGs	eggNOG-KOGs	eggNOG-NOGs	metaPhOrs
ENSG00000187634	9606	ENSG00000187634	ENSMUSG00000096351	Samd11	10090	Mus musculus	12	0.846106948332	0.666146394296	1.0	1.0	1	0	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1
ENSG00000188976	9606	ENSG00000188976	ENSMUSG00000095567	Noc2l	10090	Mus musculus	12	0.846106948332	0.666146394296	1.0	1.0	1	0	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1
ENSG00000187961	9606	ENSG00000187961	ENSMUSG00000078484	Klhl17	10090	Mus musculus	14	0.982051588203	0.998976995044	1.0	1.0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1
ENSG00000187583	9606	ENSG00000187583	ENSMUSG00000078485	Plekhn1	10090	Mus musculus	11	0.692213896664	0.803575082333	1.0	1.0	1	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1
ENSG00000187642	9606	ENSG00000187642	ENSMUSG00000078486	Perm1	10090	Mus musculus	12	0.846106948332	0.82170211501	1.0	1.0	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1
ENSG00000187608	9606	ENSG00000187608	ENSMUSG00000035692	Isg15	10090	Mus musculus	13	0.952633857297	0.999999977789	1.0	1.0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1
ENSG00000188157	9606	ENSG00000188157	ENSMUSG00000041936	Agrn	10090	Mus musculus	15	0.998046875	0.998049847958	1.0	1.0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1
ENSG00000131591	9606	ENSG00000131591	ENSMUSG00000059939	9430015G10Rik	10090	Mus musculus	13	0.952633857297	0.88380574081	1.0	1.0	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1
ENSG00000162571	9606	ENSG00000162571	ENSMUSG00000029074	Ttll10	10090	Mus musculus	15	0.998046875	0.998049847958	1.0	1.0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1
ENSG00000186891	9606	ENSG00000186891	ENSMUSG00000041954	Tnfrsf18	10090	Mus musculus	11	0.692213896664	0.998851431172	1.0	1.0	1	1	1	1	0	0	1	0	1	0	1	1	1	0	0	1	1
ENSG00000186827	9606	ENSG00000186827	ENSMUSG00000029075	Tnfrsf4	10090	Mus musculus	13	0.952633857297	0.9999998904	1.0	1.0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1
ENSG00000078808	9606	ENSG00000078808	ENSMUSG00000029076	Sdf4	10090	Mus musculus	15	0.998046875	0.998049847958	1.0	1.0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1
ENSG00000176022	9606	ENSG00000176022	ENSMUSG00000050796	B3galt6	10090	Mus musculus	15	0.998046875	0.998049847958	1.0	1.0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1
ENSG00000184163	9606	ENSG00000184163	ENSMUSG00000023571	Fam132a	10090	Mus musculus	14	0.982051588203	0.999950508092	1.0	1.0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1
ENSG00000160087	9606	ENSG00000160087	ENSMUSG00000023286	Ube2j2	10090	Mus musculus	14	0.982051588203	0.998976995044	1.0	1.0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1
ENSG00000131584	9606	ENSG00000131584	ENSMUSG00000029033	Acap3	10090	Mus musculus	15	0.998046875	0.998049847958	1.0	1.0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1
ENSG00000169972	9606	ENSG00000169972	ENSMUSG00000051557	Pusl1	10090	Mus musculus	15	0.998046875	0.998049847958	1.0	1.0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1
ENSG00000127054	9606	ENSG00000127054	ENSMUSG00000029034	Cpsf3l	10090	Mus musculus	15	0.998046875	0.998049847958	1.0	1.0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1
ENSG00000224051	9606	ENSG00000224051	ENSMUSG00000029073	Gltpd1	10090	Mus musculus	15	0.998046875	0.891196853381	1.0	1.0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1
ENSG00000169962	9606	ENSG00000169962	ENSMUSG00000029072	Tas1r3	10090	Mus musculus	13	0.952633857297	0.999999977789	1.0	1.0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1
ENSG00000107404	9606	ENSG00000107404	ENSMUSG00000029071	Dvl1	10090	Mus musculus	15	0.998046875	0.998049847958	1.0	1.0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1
ENSG00000162576	9606	ENSG00000162576	ENSMUSG00000029070	Mxra8	10090	Mus musculus	13	0.952633857297	0.9999998904	1.0	1.0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1
ENSG00000175756	9606	ENSG00000175756	ENSMUSG00000065990	Aurkaip1	10090	Mus musculus	13	0.952633857297	0.9999998904	1.0	1.0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1
